127.0.0.1 - - [17/Jun/2019:20:16:27 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:16:28 +0900] "GET /Css/html/01_html.html HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:37:43 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:20 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:20 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:21 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:22 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:22 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:39 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:39 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:55 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:55 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:40:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
